id	name	type	desc	mode	food	iron	building	pre_building	pre_research	research_time	path	max_research	buffer_num	buffer_type	buffer_target	buffer_effect	buffer_delta	skills	end
14	易筋经		你的少林弟子和少林武僧的打击、兵刃、气功抗性+2。	0|1|2	200	0	16	15	13	4500	sl_yijin.png	3	1	2	5|6	27|28|29	2|2|2		1
15	武当九阳功		你的所有武当兵种攻击+2。	0|1|2	190	0	17	0	0	3000	wd_9yang.png	1	1	6	2	23	2		1
16	纯阳无极功		你的所有武当兵种打击、气功抗性+2。	0|1|2	190	0	17	0	0	3000	wd_wuji.png	1	1	6	2	27|29	2|2		1
17	太极剑法		太极剑法，弧形出剑，弧形收剑。	0|1|2	0	240	17	0	1	6000	wd_taiji.png	1	0						1
18	梯云纵		你的所有武当兵种移速+20%。	0|1|2	100	100	17	15	0	4250	wd_tiyun.png	2	1	6	2	32	20		1
19	一手七暗器		“武当七绝”之一，能够一手同时发出七种不同的暗器，又能够同时击中目标。	0|1|2	60	300	17	15	2	3000	wd_17anqi.png	1	0						1
20	三花聚顶		你的所有武当兵种攻击+3；打击、兵刃、气功抗性+2。	0|1|2	400	0	17	25	0	7000	wd_3hua.png	2	1	6	2	23|27|28|29	3|2|2|2		1
21	同归剑法		你的所有全真兵种在生命值低于20%时，攻击、攻速、移速提升50%。	0|1|2	200	300	18	15	1	5000	qz_tonggui.png	1	1	6	3	33	0	tonggui	1
22	大北斗七式		你的所有全真兵种在受到近战伤害后，会立即刷新攻击冷却。	0|1|2	500	0	18	15	0	6000	qz_beidou7.png	1	1	6	3	33	0	beidou	1
23	一炁化三清		全真派上乘剑术，刺出时只有一招，手腕抖处，剑招却分而为三。	0|1|2	0	400	18	15	1	6000	qz_1qi3qing.png	1	0						1
24	飞龙大八式		你的所有昆仑兵种移速+20%	0|1|2	240	120	19	0	0	3000	kl_feilong.png	1	1	6	4	32	20		1
25	蝎尾钩		蝎子的尾巴带有毒刺，可以毒人。如果不用来毒人，也可以用来挖洞。	0|1|2	40	200	19	0	2	3000	kl_xiewei.png	1	0						1
26	迅雷剑法		是一种十六下快剑，先聚内力，然后蓄劲弹出，出招之快无人能及。	0|1|2	80	400	19	15	1	4500	kl_xunlei.png	1	0						1
27	雨打飞花剑法		昆仑派剑法之一，剑法全走斜势，令人难以捉摸。	0|1|2	80	400	19	25	1	4500	kl_feihua.png	1	0						1
28	峨眉九阳功		你的所有峨眉兵种攻击+1；打击、兵刃、气功抗性+2。	0|1|2	175	100	20	0	0	3000	em_9yang.png	1	1	6	5	23|27|28|29	1|2|2|2		1
29	伏虎掌法		你的所有峨眉兵种近战抗性+3	0|1|2	200	0	20	0	0	3000	em_fuhu.png	1	1	6	5	30	3		1
30	辟邪剑法		这套剑法，气凝剑尖，蓄而不发，以守为攻，以虚生实，七剑同发。	0|1|2	0	250	20	15	1	3000	em_bixie.png	1	0						1
31	慈航普度		将本派弟子的所有修为集聚到一人身上，降魔镇邪，无拘无碍。	0|1|2	300	180	20	25	0	4500	em_cihang.png	1	0						1
32	高级减震		你的建筑获得：近战、远程抗性+4。	0|1|2	175	300	22	25	9	3750	jianzhen_2.png	1	1	1	-1	30|31	4|4		1
33	安全第一		你的防御建筑在建造期间受到的所有伤害减少90%。	0|1|2	175	300	22	25	0	3750	anquan.png	1	1	5	4	33	0	anquan	1
34	钢铁武装		使官兵们的远程抗性+3。	0|1|2	100	150	7	15	0	2500	gangwu.png	1	1	6	6	31	3		1
35	重度破坏		你的官兵对敌方建筑造成伤害后的2秒内，该建筑受到的治疗量减少80%。	0|1|2	100	125	6	15	0	2250	pohuai.png	1	1	6	6	33	0	pohuai	1
36	浸毒暗器		你的昆仑暗器手对敌方士兵额外造成其最大生命10%的伤害（忽略抗性）。	0|1|2	100	250	19	25	25	3750	kl_jindu.png	1	1	2	16	33	0	jindu	1
37	基因突变		通过不断选育，终于研发出了人类高质量粮食！你的所有兵种攻击+1。	0|1|2	250	0	21	25	0	3000	dna.png	5	1	2	-1	23	1		1
38	掘地三尺		发现了沙地底下掩埋的矿藏！现在你可以在任何地方修建矿场了！	0|1|2	300	300	22	25	0	6000	juedi.png	1	1	1	22	33	0	juedi	1
39	耕地改造		发现了一种在沙土上种植花生的方法。现在你可以在任何地方修建农场了！	0|1|2	400	0	21	25	0	6000	nonggai.png	1	1	1	21	33	0	nonggai	
